id;position_code;position_name_ru;skill_rank;skill_name
43;HR_RECRUITER;Рекрутер;3;Структурированное интервью и оценка компетенций
44;HR_RECRUITER;Рекрутер;4;Работа с вакансиями в ATS/CRM
45;HR_RECRUITER;Рекрутер;5;Коммуникация с заказчиком вакансии
46;HR_RECRUITER;Рекрутер;6;Проверка рекомендаций и фоновая проверка (в рамках политики)
47;HR_RECRUITER;Рекрутер;7;Оффер, сопровождение до выхода
48;HR_GENERALIST;HR-генералист;1;Полный цикл кадрового администрирования
49;HR_GENERALIST;HR-генералист;2;Адаптация и обучение сотрудников
50;HR_GENERALIST;HR-генералист;3;Внутренние HR-проекты и коммуникации
51;HR_GENERALIST;HR-генералист;4;Поддержка руководителей по кадровым вопросам
52;HR_GENERALIST;HR-генералист;5;Работа с HRIS и отчётность
53;HR_GENERALIST;HR-генералист;6;Организация оценки и развития
54;HR_GENERALIST;HR-генералист;7;Соблюдение регламентов и сроков
55;MKT_MANAGER;Маркетолог;1;Маркетинговая стратегия и позиционирование
56;MKT_MANAGER;Маркетолог;2;Планирование и бюджет маркетинга
57;MKT_MANAGER;Маркетолог;3;Каналы продвижения (digital, offline)
58;MKT_MANAGER;Маркетолог;4;Аналитика кампаний и ROMI
59;MKT_MANAGER;Маркетолог;5;Контент и бренд-коммуникации
60;MKT_MANAGER;Маркетолог;6;Работа с подрядчиками и агентствами
61;MKT_MANAGER;Маркетолог;7;Сегментация аудитории и исследования
62;LEADGEN_SPECIALIST;Специалист по лидогенерации;1;Генерация и квалификация лидов
63;LEADGEN_SPECIALIST;Специалист по лидогенерации;2;Настройка и ведение воронки в CRM
64;LEADGEN_SPECIALIST;Специалист по лидогенерации;3;A/B-тестирование гипотез и лендингов
65;LEADGEN_SPECIALIST;Специалист по лидогенерации;4;Аналитика конверсий и отчётность
66;LEADGEN_SPECIALIST;Специалист по лидогенерации;5;Контент для лид-магнитов и рассылок
67;LEADGEN_SPECIALIST;Специалист по лидогенерации;6;Интеграции маркетинга с продажами
68;LEADGEN_SPECIALIST;Специалист по лидогенерации;7;Соблюдение правил обработки персональных данных
69;SALES_MANAGER;Менеджер по продажам;1;Выполнение плана продаж и прогнозирование
70;SALES_MANAGER;Менеджер по продажам;2;Ведение переговоров и закрытие сделок
71;SALES_MANAGER;Менеджер по продажам;3;Работа с возражениями и выявление потребностей
72;SALES_MANAGER;Менеджер по продажам;4;Ведение CRM и дисциплина воронки
73;SALES_MANAGER;Менеджер по продажам;5;Развитие существующих клиентов
74;SALES_MANAGER;Менеджер по продажам;6;Презентация продукта и ценностного предложения
75;SALES_MANAGER;Менеджер по продажам;7;Самоорганизация и приоритизация сделок
76;SALES_TEAM_LEAD;Руководитель отдела продаж;1;Управление командой продаж и KPI
77;SALES_TEAM_LEAD;Руководитель отдела продаж;2;Планирование продаж и распределение целей
78;SALES_TEAM_LEAD;Руководитель отдела продаж;3;Коучинг и развитие менеджеров
79;SALES_TEAM_LEAD;Руководитель отдела продаж;4;Аналитика воронки и прогнозирование
80;SALES_TEAM_LEAD;Руководитель отдела продаж;5;Взаимодействие с маркетингом и продуктом
81;SALES_TEAM_LEAD;Руководитель отдела продаж;6;Мотивация и дисциплина процесса продаж
82;SALES_TEAM_LEAD;Руководитель отдела продаж;7;Участие в сложных переговорах и эскалациях
83;ACC_ACCOUNTANT;Бухгалтер;1;Ведение участков бухгалтерского учёта
84;ACC_ACCOUNTANT;Бухгалтер;2;Первичные документы и сверки с контрагентами
85;ACC_ACCOUNTANT;Бухгалтер;3;Налоговая учётная политика (в рамках участка)
86;ACC_ACCOUNTANT;Бухгалтер;4;Работа в учётной 1С (или аналоге)
87;ACC_ACCOUNTANT;Бухгалтер;5;Соблюдение сроков и регламентов закрытия периода
88;ACC_ACCOUNTANT;Бухгалтер;6;Взаимодействие с банком и казначейством
89;ACC_ACCOUNTANT;Бухгалтер;7;Внутренний контроль и предотвращение ошибок
90;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;1;Учёт ТМЦ и складских операций
91;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;2;Инвентаризация и устранение расхождений
92;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;3;Документооборот по материалам
93;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;4;Контроль остатков и норм расхода
94;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;5;Взаимодействие со складом и закупками
95;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;6;Отчётность по движению ТМЦ
96;ACC_MATERIAL_ACCOUNTANT;Бухгалтер по учёту материальных ценностей;7;Соблюдение процедур списания и оприходования
97;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;1;Управление бухгалтерской службой и распределение зон
98;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;2;Регламентированная и управленческая отчётность
99;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;3;Настройка учётной политики и налоговая оптимизация в рамках закона
100;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;4;Внутренний контроль и предотвращение нарушений
101;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;5;Взаимодействие с аудитом, банками, фискальными органами
102;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;6;Управление сроками закрытия периода
103;ACC_CHIEF_ACCOUNTANT;Главный бухгалтер;7;Стратегическое сопровождение финансовых решений руководства
104;PROD_SUPERVISOR;Начальник производства;1;Производственное планирование и выпуск продукции
105;PROD_SUPERVISOR;Начальник производства;2;Управление сменами и участками
106;PROD_SUPERVISOR;Начальник производства;3;Охрана труда и промышленная безопасность
107;PROD_SUPERVISOR;Начальник производства;4;Контроль качества на линии
108;PROD_SUPERVISOR;Начальник производства;5;Дисциплина и производительность (OEE, простои)
109;PROD_SUPERVISOR;Начальник производства;6;Управление материальными и человеческими ресурсами
110;PROD_SUPERVISOR;Начальник производства;7;Взаимодействие с логистикой и снабжением
111;PROD_TECH_DIR;Заместитель директора по производству (технический директор);1;Технологическое лидерство и производственные процессы
112;PROD_TECH_DIR;Заместитель директора по производству (технический директор);2;Внедрение изменений и проектов на производстве
113;PROD_TECH_DIR;Заместитель директора по производству (технический директор);3;Капитальное оборудование и модернизация линий
114;PROD_TECH_DIR;Заместитель директора по производству (технический директор);4;Снижение производственных затрат и повышение эффективности
115;PROD_TECH_DIR;Заместитель директора по производству (технический директор);5;Промышленная безопасность и экология (в рамках компетенции)
116;PROD_TECH_DIR;Заместитель директора по производству (технический директор);6;Инновации и НИОКР на производстве
117;PROD_TECH_DIR;Заместитель директора по производству (технический директор);7;Координация с качеством, снабжением, инженерией
118;QUAL_SPECIALIST;Специалист по контролю качества;1;Контроль соответствия продукции и процессов стандартам
119;QUAL_SPECIALIST;Специалист по контролю качества;2;Инспекции, выборочный контроль, измерения
120;QUAL_SPECIALIST;Специалист по контролю качества;3;Регистрация несоответствий и CAPA
121;QUAL_SPECIALIST;Специалист по контролю качества;4;Статистическая обработка данных качества
122;QUAL_SPECIALIST;Специалист по контролю качества;5;Взаимодействие с производством и поставщиками
123;QUAL_SPECIALIST;Специалист по контролю качества;6;Документирование в системе качества
124;QUAL_SPECIALIST;Специалист по контролю качества;7;Внутренние аудиты процессов
125;QUAL_HEAD;Начальник ОКК;1;Построение и развитие системы менеджмента качества
126;QUAL_HEAD;Начальник ОКК;2;Управление отделом качества и KPI качества
127;QUAL_HEAD;Начальник ОКК;3;"Внешние и внутренние аудиты; сертификация"
128;QUAL_HEAD;Начальник ОКК;4;Корпоративные стандарты и улучшение процессов
129;QUAL_HEAD;Начальник ОКК;5;Работа с рекламациями и претензиями клиентов
130;QUAL_HEAD;Начальник ОКК;6;Взаимодействие с регуляторами и отраслевыми требованиями
131;QUAL_HEAD;Начальник ОКК;7;Стратегия качества на уровне компании
132;PR_SPECIALIST;Специалист по связям с общественностью;1;Медиа-коммуникации и работа с журналистами
133;PR_SPECIALIST;Специалист по связям с общественностью;2;Написание пресс-релизов и материалов
134;PR_SPECIALIST;Специалист по связям с общественностью;3;Управление репутацией и кризисные коммуникации (база)
135;PR_SPECIALIST;Специалист по связям с общественностью;4;Организация мероприятий и PR-кампаний
136;PR_SPECIALIST;Специалист по связям с общественностью;5;Внутренние коммуникации и работа со спикерами
137;PR_SPECIALIST;Специалист по связям с общественностью;6;Контент для соцсетей и корпоративных каналов
138;PR_SPECIALIST;Специалист по связям с общественностью;7;Мониторинг упоминаний и аналитика охватов
